일시,대여소번호,시간대,거치대수량,요일
2022-05-01,1101,0,16,6
2022-05-01,1101,1,17,6
2022-05-01,1101,2,17,6
2022-05-01,1101,3,17,6
2022-05-01,1101,4,17,6
2022-05-01,1101,5,17,6
2022-05-01,1101,6,17,6
2022-05-01,1101,7,17,6
2022-05-01,1101,8,17,6
2022-05-01,1101,9,17,6
2022-05-01,1101,10,16,6
2022-05-01,1101,11,16,6
2022-05-01,1101,12,16,6
2022-05-01,1101,13,15,6
2022-05-01,1101,14,15,6
2022-05-01,1101,15,15,6
2022-05-01,1101,16,15,6
2022-05-01,1101,17,13,6
2022-05-01,1101,18,13,6
2022-05-01,1101,19,15,6
2022-05-01,1101,20,14,6
2022-05-01,1101,21,14,6
2022-05-01,1101,22,14,6
2022-05-01,1101,23,14,6
2022-05-01,1102,0,15,6
2022-05-01,1102,1,18,6
2022-05-01,1102,2,18,6
2022-05-01,1102,3,19,6
2022-05-01,1102,4,21,6
2022-05-01,1102,5,21,6
2022-05-01,1102,6,21,6
2022-05-01,1102,7,19,6
2022-05-01,1102,8,17,6
2022-05-01,1102,9,16,6
2022-05-01,1102,10,15,6
2022-05-01,1102,11,22,6
2022-05-01,1102,12,23,6
2022-05-01,1102,13,14,6
2022-05-01,1102,14,14,6
2022-05-01,1102,15,15,6
2022-05-01,1102,16,13,6
2022-05-01,1102,17,11,6
2022-05-01,1102,18,25,6
2022-05-01,1102,19,16,6
2022-05-01,1102,20,23,6
2022-05-01,1102,21,24,6
2022-05-01,1102,22,18,6
2022-05-01,1102,23,18,6
2022-05-01,1103,0,36,6
2022-05-01,1103,1,35,6
2022-05-01,1103,2,38,6
2022-05-01,1103,3,42,6
2022-05-01,1103,4,43,6
2022-05-01,1103,5,43,6
2022-05-01,1103,6,42,6
2022-05-01,1103,7,40,6
2022-05-01,1103,8,38,6
2022-05-01,1103,9,40,6
2022-05-01,1103,10,41,6
2022-05-01,1103,11,37,6
2022-05-01,1103,12,35,6
2022-05-01,1103,13,33,6
2022-05-01,1103,14,25,6
2022-05-01,1103,15,20,6
2022-05-01,1103,16,6,6
2022-05-01,1103,17,4,6
2022-05-01,1103,18,11,6
2022-05-01,1103,19,19,6
2022-05-01,1103,20,17,6
2022-05-01,1103,21,23,6
2022-05-01,1103,22,23,6
2022-05-01,1103,23,27,6
2022-05-01,1105,1,4,6
2022-05-01,1105,2,4,6
2022-05-01,1105,3,5,6
2022-05-01,1105,4,5,6
2022-05-01,1105,5,5,6
2022-05-01,1105,6,5,6
2022-05-01,1105,7,5,6
2022-05-01,1105,8,7,6
2022-05-01,1105,9,7,6
2022-05-01,1105,10,4,6
2022-05-01,1105,11,7,6
2022-05-01,1105,12,7,6
2022-05-01,1105,13,3,6
2022-05-01,1105,16,3,6
2022-05-01,1105,19,3,6
2022-05-01,1106,0,30,6
2022-05-01,1106,1,32,6
2022-05-01,1106,2,34,6
2022-05-01,1106,3,35,6
2022-05-01,1106,4,35,6
2022-05-01,1106,5,35,6
2022-05-01,1106,6,36,6
2022-05-01,1106,7,36,6
2022-05-01,1106,8,33,6
2022-05-01,1106,9,31,6
2022-05-01,1106,10,16,6
2022-05-01,1106,11,11,6
2022-05-01,1106,12,12,6
2022-05-01,1106,13,8,6
2022-05-01,1106,14,7,6
2022-05-01,1106,15,15,6
2022-05-01,1106,16,9,6
2022-05-01,1106,17,9,6
2022-05-01,1106,18,5,6
2022-05-01,1106,19,7,6
2022-05-01,1106,20,11,6
2022-05-01,1106,21,10,6
2022-05-01,1106,22,12,6
2022-05-01,1106,23,11,6
2022-05-01,1108,0,32,6
2022-05-01,1108,1,33,6
2022-05-01,1108,2,31,6
2022-05-01,1108,3,26,6
2022-05-01,1108,4,28,6
2022-05-01,1108,5,27,6
2022-05-01,1108,6,29,6
2022-05-01,1108,7,29,6
2022-05-01,1108,8,30,6
2022-05-01,1108,9,29,6
2022-05-01,1108,10,32,6
2022-05-01,1108,11,31,6
2022-05-01,1108,12,31,6
2022-05-01,1108,13,28,6
2022-05-01,1108,14,28,6
2022-05-01,1108,15,27,6
2022-05-01,1108,16,22,6
2022-05-01,1108,17,16,6
2022-05-01,1108,18,11,6
2022-05-01,1108,19,11,6
2022-05-01,1108,20,12,6
2022-05-01,1108,21,11,6
2022-05-01,1108,22,13,6
2022-05-01,1108,23,13,6
2022-05-01,1109,0,4,6
2022-05-01,1109,1,7,6
2022-05-01,1109,2,8,6
2022-05-01,1109,3,9,6
2022-05-01,1109,4,6,6
2022-05-01,1109,5,9,6
2022-05-01,1109,6,8,6
2022-05-01,1109,7,8,6
2022-05-01,1109,8,7,6
2022-05-01,1109,9,9,6
2022-05-01,1109,10,9,6
2022-05-01,1109,11,7,6
2022-05-01,1109,12,9,6
2022-05-01,1109,13,8,6
2022-05-01,1109,14,7,6
2022-05-01,1109,15,3,6
2022-05-01,1109,22,3,6
2022-05-01,1109,23,8,6
2022-05-01,1111,0,9,6
2022-05-01,1111,1,8,6
2022-05-01,1111,2,8,6
2022-05-01,1111,3,9,6
