대여소번호,시간대,mode,max,min,수량1,수량2,수량3,수량4,수량5,수량6,수량7,수량8,수량9
1101,0,9,28,9,16,9.0,9.0,13.0,13.0,26.0,28.0,15.0,15.0
1101,1,10,29,10,17,10.0,12.0,13.0,14.0,26.0,29.0,16.0,15.0
1101,2,13,29,10,17,10.0,13.0,13.0,15.0,26.0,29.0,16.0,16.0
1101,3,13,30,10,17,10.0,13.0,13.0,15.0,26.0,30.0,16.0,17.0
1101,4,13,33,11,17,11.0,13.0,13.0,15.0,26.0,33.0,16.0,17.0
1101,5,13,33,11,17,11.0,13.0,13.0,15.0,26.0,33.0,16.0,17.0
1101,6,13,33,12,17,12.0,13.0,13.0,15.0,26.0,33.0,16.0,17.0
1101,7,17,33,12,17,12.0,13.0,14.0,15.0,26.0,33.0,16.0,17.0
1101,8,14,32,12,17,12.0,13.0,14.0,15.0,24.0,32.0,14.0,16.0
1101,9,13,32,12,17,13.0,13.0,12.0,15.0,23.0,32.0,13.0,16.0
1101,10,13,32,12,16,13.0,13.0,12.0,16.0,24.0,32.0,13.0,16.0
1101,11,16,32,12,16,12.0,12.0,15.0,16.0,24.0,32.0,14.0,16.0
1101,12,15,32,10,16,10.0,12.0,15.0,16.0,24.0,32.0,14.0,15.0
1101,13,16,32,9,15,9.0,12.0,16.0,16.0,25.0,32.0,14.0,16.0
1101,14,15,32,8,15,8.0,12.0,14.0,16.0,25.0,32.0,13.0,15.0
1101,15,15,31,8,15,8.0,17.0,14.0,17.0,25.0,31.0,13.0,15.0
1101,16,17,32,10,15,10.0,18.0,14.0,17.0,23.0,32.0,12.0,17.0
1101,17,12,32,9,13,9.0,18.0,12.0,17.0,22.0,32.0,12.0,17.0
1101,18,13,31,9,13,9.0,18.0,13.0,17.0,22.0,31.0,12.0,17.0
1101,19,15,32,11,15,11.0,17.0,15.0,16.0,24.0,32.0,12.0,18.0
1101,20,14,32,10,14,10.0,17.0,14.0,15.0,25.0,32.0,12.0,18.0
1101,21,13,32,10,14,10.0,17.0,13.0,15.0,26.0,32.0,13.0,18.0
1101,22,14,33,9,14,9.0,17.0,13.0,16.0,26.0,33.0,14.0,18.0
1101,23,14,34,9,14,9.0,17.0,13.0,15.0,27.0,34.0,14.0,19.0
