대여소번호,시간대,mode,max,min,수량1,수량2,수량3,수량4,수량5,수량6,수량7,수량8,수량9,max_min_diff,service_level,upperbound,lowerbound
1101,0,9.0,28.0,9.0,16.0,9.0,9.0,13.0,13.0,26.0,28.0,15.0,15.0,5.0,80.0,26.0,13.0
1101,1,10.0,29.0,10.0,17.0,10.0,12.0,13.0,14.0,26.0,29.0,16.0,15.0,5.0,80.0,26.0,13.0
1101,2,13.0,29.0,10.0,17.0,10.0,13.0,13.0,15.0,26.0,29.0,16.0,16.0,5.0,80.0,26.0,13.0
1101,3,13.0,30.0,10.0,17.0,10.0,13.0,13.0,15.0,26.0,30.0,16.0,17.0,5.0,80.0,26.0,13.0
1101,4,13.0,33.0,11.0,17.0,11.0,13.0,13.0,15.0,26.0,33.0,16.0,17.0,5.0,80.0,26.0,13.0
1101,5,13.0,33.0,11.0,17.0,11.0,13.0,13.0,15.0,26.0,33.0,16.0,17.0,5.0,80.0,26.0,13.0
1101,6,13.0,33.0,12.0,17.0,12.0,13.0,13.0,15.0,26.0,33.0,16.0,17.0,5.0,80.0,26.0,13.0
1101,7,17.0,33.0,12.0,17.0,12.0,13.0,14.0,15.0,26.0,33.0,16.0,17.0,5.0,80.0,26.0,14.0
1101,8,14.0,32.0,12.0,17.0,12.0,13.0,14.0,15.0,24.0,32.0,14.0,16.0,5.0,80.0,24.0,14.0
1101,9,13.0,32.0,12.0,17.0,13.0,13.0,12.0,15.0,23.0,32.0,13.0,16.0,5.0,80.0,23.0,13.0
1101,10,13.0,32.0,12.0,16.0,13.0,13.0,12.0,16.0,24.0,32.0,13.0,16.0,5.0,80.0,24.0,13.0
1101,11,16.0,32.0,12.0,16.0,12.0,12.0,15.0,16.0,24.0,32.0,14.0,16.0,5.0,80.0,24.0,14.0
1101,12,15.0,32.0,10.0,16.0,10.0,12.0,15.0,16.0,24.0,32.0,14.0,15.0,5.0,80.0,24.0,14.0
1101,13,16.0,32.0,9.0,15.0,9.0,12.0,16.0,16.0,25.0,32.0,14.0,16.0,5.0,80.0,25.0,14.0
1101,14,15.0,32.0,8.0,15.0,8.0,12.0,14.0,16.0,25.0,32.0,13.0,15.0,5.0,80.0,25.0,13.0
