일시,대여소번호,시간대,거치대수량,요일
2022-05-02,1101,0,15,0
2022-05-02,1101,1,15,0
2022-05-02,1101,2,16,0
2022-05-02,1101,3,16,0
2022-05-02,1101,4,16,0
2022-05-02,1101,5,16,0
2022-05-02,1101,6,17,0
2022-05-02,1101,7,17,0
2022-05-02,1101,8,16,0
2022-05-02,1101,9,16,0
2022-05-02,1101,10,19,0
2022-05-02,1101,11,18,0
2022-05-02,1101,12,18,0
2022-05-02,1101,13,19,0
2022-05-02,1101,14,4,0
2022-05-02,1101,17,3,0
2022-05-02,1101,18,3,0
2022-05-02,1101,19,4,0
2022-05-02,1101,20,5,0
2022-05-02,1101,21,5,0
2022-05-02,1101,22,6,0
2022-05-02,1101,23,7,0
2022-05-02,1102,0,17,0
2022-05-02,1102,1,19,0
2022-05-02,1102,2,20,0
2022-05-02,1102,3,20,0
2022-05-02,1102,4,20,0
2022-05-02,1102,5,19,0
2022-05-02,1102,6,18,0
2022-05-02,1102,7,19,0
2022-05-02,1102,8,21,0
2022-05-02,1102,9,20,0
2022-05-02,1102,10,14,0
2022-05-02,1102,11,13,0
2022-05-02,1102,12,6,0
2022-05-02,1102,13,7,0
2022-05-02,1102,14,5,0
2022-05-02,1102,15,8,0
2022-05-02,1102,16,9,0
2022-05-02,1102,17,7,0
2022-05-02,1102,18,11,0
2022-05-02,1102,19,15,0
2022-05-02,1102,20,17,0
2022-05-02,1102,21,16,0
2022-05-02,1102,22,16,0
2022-05-02,1102,23,22,0
2022-05-02,1103,0,28,0
2022-05-02,1103,1,28,0
2022-05-02,1103,2,28,0
2022-05-02,1103,3,29,0
2022-05-02,1103,4,27,0
2022-05-02,1103,5,25,0
2022-05-02,1103,6,23,0
2022-05-02,1103,7,20,0
2022-05-02,1103,8,14,0
2022-05-02,1103,9,9,0
2022-05-02,1103,10,13,0
2022-05-02,1103,11,12,0
2022-05-02,1103,12,12,0
2022-05-02,1103,13,10,0
2022-05-02,1103,14,9,0
