대여소번호,시간대,mode,max,min,수량1,수량2,수량3,수량4,수량5,수량6,수량7,수량8,수량9,수량10,수량11,수량12,수량13,수량14,수량15,수량16,수량17,수량18,수량19,수량20,수량21,수량22,수량23,수량24,수량25
1101,0,17,37,7,15,8.0,9.0,10.0,7.0,17.0,7.0,12.0,10.0,11.0,17.0,20.0,9.0,8.0,15.0,35.0,25.0,13.0,17.0,12.0,20.0,14.0,32.0,26.0,37.0
1101,1,9,38,7,15,8.0,9.0,10.0,7.0,19.0,7.0,11.0,11.0,12.0,17.0,20.0,9.0,9.0,15.0,35.0,25.0,12.0,17.0,14.0,21.0,16.0,32.0,26.0,38.0
1101,2,7,38,7,16,8.0,9.0,10.0,7.0,19.0,7.0,12.0,11.0,13.0,17.0,19.0,9.0,10.0,15.0,36.0,25.0,12.0,17.0,15.0,22.0,16.0,32.0,26.0,38.0
1101,3,12,39,7,16,8.0,9.0,10.0,7.0,19.0,7.0,12.0,12.0,13.0,17.0,19.0,9.0,10.0,16.0,38.0,25.0,12.0,17.0,15.0,22.0,16.0,32.0,26.0,39.0
1101,4,12,39,7,16,8.0,9.0,10.0,7.0,19.0,7.0,12.0,12.0,13.0,17.0,19.0,8.0,10.0,16.0,38.0,25.0,12.0,17.0,15.0,22.0,16.0,32.0,26.0,39.0
1101,5,12,39,7,16,8.0,9.0,10.0,7.0,19.0,7.0,12.0,12.0,13.0,17.0,19.0,8.0,10.0,16.0,39.0,25.0,12.0,17.0,15.0,22.0,17.0,32.0,26.0,39.0
1101,6,8,39,7,17,8.0,10.0,10.0,7.0,19.0,8.0,12.0,13.0,13.0,16.0,19.0,8.0,10.0,17.0,39.0,26.0,12.0,18.0,15.0,22.0,17.0,32.0,26.0,39.0
1101,7,17,39,5,17,8.0,9.0,9.0,5.0,18.0,7.0,12.0,12.0,12.0,16.0,19.0,8.0,10.0,17.0,39.0,26.0,10.0,17.0,14.0,22.0,17.0,32.0,26.0,38.0
1101,8,8,39,5,16,8.0,9.0,8.0,5.0,18.0,8.0,11.0,10.0,13.0,16.0,19.0,8.0,10.0,16.0,39.0,25.0,10.0,17.0,14.0,23.0,16.0,32.0,28.0,38.0
1101,9,18,39,6,16,9.0,13.0,7.0,8.0,20.0,10.0,14.0,12.0,14.0,18.0,21.0,6.0,12.0,18.0,39.0,26.0,13.0,15.0,16.0,23.0,18.0,31.0,28.0,17.0
1101,10,19,39,6,19,12.0,15.0,7.0,10.0,22.0,12.0,14.0,11.0,16.0,20.0,24.0,6.0,16.0,20.0,39.0,29.0,13.0,15.0,19.0,26.0,23.0,31.0,31.0,19.0
1101,11,18,39,7,18,12.0,15.0,7.0,10.0,22.0,11.0,14.0,12.0,16.0,21.0,24.0,7.0,16.0,21.0,39.0,30.0,13.0,14.0,18.0,26.0,24.0,31.0,30.0,18.0
1101,12,12,38,6,18,12.0,14.0,6.0,10.0,21.0,11.0,12.0,12.0,17.0,19.0,24.0,8.0,16.0,21.0,38.0,30.0,13.0,14.0,18.0,26.0,24.0,31.0,31.0,18.0
1101,13,12,37,7,19,12.0,15.0,7.0,10.0,20.0,12.0,13.0,14.0,17.0,19.0,24.0,7.0,16.0,21.0,37.0,30.0,12.0,13.0,17.0,25.0,24.0,29.0,31.0,18.0
1101,14,8,32,4,4,12.0,13.0,8.0,10.0,8.0,11.0,13.0,13.0,18.0,18.0,23.0,8.0,17.0,23.0,22.0,18.0,14.0,14.0,17.0,12.0,25.0,28.0,32.0,19.0
1101,15,8,31,7,12,13.0,8.0,8.0,8.0,11.0,14.0,13.0,19.0,19.0,23.0,7.0,12.0,22.0,22.0,17.0,13.0,14.0,17.0,11.0,27.0,28.0,31.0,18.0,
